listings/id,listings/pix_cache_id,listings/listing_id,listings/class_id,listings/status_id,listings/list_price,listings/sold_price,listings/close_dt,listings/list_dt,listings/sold_dt,listings/status_dt,listings/update_dt,listings/apartment,listings/civicnum,listings/street,listings/tla,listings/mla,listings/pix_count,listings/st_type,listings/city,listings/address,listings/pid,listings/pid2,listings/pid3,listings/pid4,listings/parcel_class_id,listings/idx_optin,listings/nbeds,listings/nfullbaths,listings/nhalfbaths,listings/is_vp,listings/is_vp_sold,listings/listing_b1,listings/listing_b2,listings/oh,listings/has_energy,listings/is_following,properties/id,properties/class_id,properties/apartment,properties/area,properties/area_unit,properties/assessment,properties/city,properties/civicchar,properties/civicnum,properties/lat,properties/lng,properties/parcel_type,properties/pid,properties/polygons/0/points,properties/polygons/0/levels,properties/polygons/0/num_points,properties/polygons/0/zoom_factor,properties/ppid,properties/shape_pid,properties/st_type,properties/street,properties/history,properties/has_energy,properties/is_following
11371024,3543deb6,202115032,1,2,419000,481850,2021-08-31 0:00,2021-06-15 0:00,2021-07-12 0:00,2021-07-13 11:46,2021-07-13 11:46,,22,Hillview,2415,1269,31,Drive,Dartmouth,22 Hillview Drive,40740516,,,,1,t,4,2,0,0,0,Exit Realty Metro,,,FALSE,FALSE,339296,1,,6000,sqft,199900,Cole Harbour,,80,44.68286041,-63.49222402,standard,40148041,ykfftAbrgbxBz@yVdIn@y@zVgIq@,,,6,,40148041,Crescent,Havelock,t,FALSE,FALSE
11371059,fea9a456,202115071,1,2,309900,420000,2021-08-20 0:00,2021-06-14 0:00,2021-07-02 0:00,2021-07-05 0:00,2021-07-05 15:40,,352,Poplar,1800,1092,31,Drive,Dartmouth,352 Poplar Drive,40155913,,,,1,t,3,1,1,0,0,Assist-2-Sell Homeworks Realty,,,FALSE,FALSE,339333,1,,10688,sqft,271800,Cole Harbour,,101,44.68711202,-63.4922409,standard,40148413,mynftAx{fbxBnC}As@yD~DkBhJvh@mHhDwI}a@,,,6,,40148413,Crescent,Nestor,t,FALSE,FALSE
11371131,67051f2d,202115169,1,2,329900,366000,2021-08-16 0:00,2021-06-16 0:00,2021-06-24 0:00,2021-06-24 20:10,2021-06-24 20:10,,5,Garnett,2259,1353,31,Street,Dartmouth,5 Garnett Street,263046,,,,1,t,3,2,0,0,0,Royal LePage Atlantic,,,FALSE,FALSE,339334,1,,3657,sqft,186200,Cole Harbour,,102,44.68716404,-63.49311222,standard,40148421,uynftAdshbxBrCgB|GdXwB~CyH}Y,,,6,,40148421,Crescent,Nestor,t,FALSE,FALSE
11371154,a5e5a008,202115195,1,2,309900,360100,2021-08-10 0:00,2021-06-16 0:00,2021-06-29 0:00,2021-06-29 14:43,2021-06-29 14:43,,141,Sirius,1400,988,23,Crescent,Dartmouth,141 Sirius Crescent,40156168,,,,1,t,3,2,0,0,0,RE/MAX Nova,,,FALSE,FALSE,339583,1,,3033,sqft,199300,Westphal,,214,44.69280577,-63.49409587,standard,40151474,exyftAbqjbxB~Cy@tCdVeD`AoCmV,,,6,,40151474,Drive,Taranaki,t,FALSE,FALSE
11371157,03bee3a4,202115197,1,2,299900,265000,2021-07-29 0:00,2021-06-16 0:00,2021-07-06 0:00,2021-07-07 9:57,2021-07-07 9:57,,34,Collins,1879,1879,19,Grove,Dartmouth,34 Collins Grove,40437113,,,,1,t,3,1,1,0,0,Engel & Volkers,,,FALSE,FALSE,339601,1,,3029,sqft,211600,Westphal,,126,44.69352834,-63.49342084,standard,40151656,sa{ftAr~ibxB{AaWtB[t@IjA`W{Cd@,,,6,,40151656,Drive,Taranaki,t,FALSE,FALSE
11371158,4b6aaa98,202115198,1,2,277000,275000,2021-07-28 0:00,2021-06-16 0:00,2021-07-05 0:00,2021-07-09 16:32,2021-07-09 16:32,,22,Ridgecrest,1408,704,22,Drive,Dartmouth,22 Ridgecrest Drive,40612327,,,,1,t,3,1,1,0,0,Royal LePage Anchor Realty,,,FALSE,FALSE,339606,1,,3067,sqft,166900,Westphal,,116,44.69311572,-63.4933588,standard,40151706,ohzftAjzibxB{@eWdD]fAfWqDZ,,,6,,40151706,Drive,Taranaki,t,FALSE,FALSE
11371176,e4e87ec7,202115219,1,2,359900,371500,2021-08-17 0:00,2021-06-16 0:00,2021-07-27 0:00,2021-07-28 7:11,2021-07-28 7:11,,64,HAVELOCK,1700,0,16,Crescent,Cole Harbour,64 HAVELOCK Crescent,40148009,,,,1,t,3,2,0,0,0,Air Realty,Air Realty,,FALSE,FALSE,339626,1,,6770,sqft,207900,Westphal,,58,44.69085751,-63.49245625,standard,40151904,azuftAjfhbxB{Ey`@`FyApFpd@kAz@kDyA,,,6,,40151904,Drive,Taranaki,t,FALSE,FALSE
11371186,d3735fbf,202115228,1,2,299900,375000,2021-09-03 0:00,2021-06-16 0:00,2021-06-25 0:00,2021-06-25 13:17,2021-06-25 13:17,,98,Woodlawn,1530,1170,31,Road,Dartmouth,98 Woodlawn Road,41113721,,,,1,t,3,2,0,0,0,Keller Williams Select Realty,,,FALSE,FALSE,339628,1,,5805,sqft,279100,Westphal,,52,44.69064904,-63.49234974,standard,40151920,wluftAp|fbxBxEz_@aEzCkFeb@rEqA,,,6,,40151920,Drive,Taranaki,t,FALSE,FALSE
11371189,f6a0f18d,202115231,1,2,410000,441111,2021-07-19 0:00,2021-06-16 0:00,2021-07-05 0:00,2021-07-05 11:35,2021-07-05 11:35,,41,Morningfield,2361,1574,31,Lane,Dartmouth,41 Morningfield Lane,41340563,,,,1,t,3,2,2,0,0,Royal LePage Atlantic,,,FALSE,FALSE,339632,1,,6280,sqft,279700,Westphal,,40,44.69016238,-63.49209115,standard,40151961,wotftAhngbxBsDcZ~GqBlD~XyGtC,,,6,,40151961,Drive,Taranaki,t,FALSE,FALSE
11376388,ce386c8c,202115281,1,2,289900,340000,2021-08-25 0:00,2021-06-16 0:00,2021-06-30 0:00,2021-06-30 0:00,2021-07-05 12:39,,58,Taranaki,1813,936,30,Drive,Dartmouth,58 Taranaki Drive,40151904,,,,1,t,3,2,0,0,0,Exit Realty Metro,,,FALSE,FALSE,339643,1,,6335,sqft,251200,Westphal,,29,44.69048587,-63.4931717,standard,40152076,ikuftArwhbxBhPzCEl@@tBH|@Nz@Rr@gMvEkCeU,,,6,,40152076,Court,Orcadian,t,FALSE,FALSE
